; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
46.4	3.5982E-12	5.8125E-14	3.0901E-14
46.5	4.2616E-12	6.8765E-14	3.6581E-14
46.6	5.1912E-12	8.3808E-14	4.4573E-14
46.7	6.7587E-12	1.0962E-13	5.8159E-14
46.8	9.7159E-12	1.5832E-13	8.3788E-14
46.9	1.5161E-11	2.4819E-13	1.3103E-13
47	2.5883E-11	4.2568E-13	2.2418E-13
47.1	4.9035E-11	8.1017E-13	4.2564E-13
47.2	1.0276E-10	1.7056E-12	8.9387E-13
47.3	2.2530E-10	3.7570E-12	1.9642E-12
47.4	4.4887E-10	7.5211E-12	3.9221E-12
47.5	6.3172E-10	1.0636E-11	5.5323E-12
47.6	5.3074E-10	8.9784E-12	4.6584E-12
47.7	2.9889E-10	5.0805E-12	2.6293E-12
47.8	1.5487E-10	2.6449E-12	1.3654E-12
47.9	8.3282E-11	1.4290E-12	7.3589E-13
48	5.0510E-11	8.7081E-13	4.4731E-13
48.1	3.1708E-11	5.4922E-13	2.8142E-13
48.2	2.1851E-11	3.8025E-13	1.9436E-13
48.3	1.5924E-11	2.7841E-13	1.4195E-13
48.4	1.2067E-11	2.1196E-13	1.0781E-13
48.5	9.8458E-12	1.7374E-13	8.8154E-14
48.6	7.5854E-12	1.3447E-13	6.8063E-14
48.7	6.2954E-12	1.1211E-13	5.6609E-14
48.8	5.3303E-12	9.5331E-14	4.8027E-14
48.9	4.5416E-12	8.1574E-14	4.1004E-14
49	3.7366E-12	6.7400E-14	3.3803E-14
49.1	3.1771E-12	5.7552E-14	2.8800E-14
49.2	2.6091E-12	4.7463E-14	2.3698E-14
49.3	2.1331E-12	3.8966E-14	1.9412E-14
49.4	1.8870E-12	3.4615E-14	1.7207E-14
49.5	1.6301E-12	2.9965E-14	1.4879E-14
49.6	1.6629E-12	3.0632E-14	1.5194E-14
49.7	1.5477E-12	2.8567E-14	1.4155E-14
49.8	1.3679E-12	2.5301E-14	1.2524E-14
49.9	1.1072E-12	2.0520E-14	1.0146E-14
50	9.8903E-13	1.8366E-14	9.0723E-15
50.1	9.0731E-13	1.6883E-14	8.3308E-15
50.2	8.9451E-13	1.6678E-14	8.2212E-15
50.3	8.7092E-13	1.6271E-14	8.0121E-15
50.4	6.6855E-13	1.2515E-14	6.1563E-15
50.5	6.7569E-13	1.2674E-14	6.2282E-15
50.6	6.3546E-13	1.1943E-14	5.8629E-15
50.7	6.2196E-13	1.1713E-14	5.7439E-15
50.8	6.4082E-13	1.2092E-14	5.9237E-15
50.9	5.6032E-13	1.0613E-14	5.1890E-15
51	5.7743E-13	1.1066E-14	5.3766E-15
51.1	6.2190E-13	1.2057E-14	5.8221E-15
51.2	5.7706E-13	1.1318E-14	5.4316E-15
51.3	5.1962E-13	1.0310E-14	4.9172E-15
51.4	4.7300E-13	9.4929E-15	4.5000E-15
